Date,S&P 500 지수,금 가격,달러 인덱스,나스닥 100,S&P 500 ETF,QQQ ETF,러셀 2000 ETF,다우 존스 ETF,VIX 지수,닛케이 225,상해종합,항셍,영국 FTSE,독일 DAX,프랑스 CAC 40,미국 전체 채권시장 ETF,TIPS ETF,투자등급 회사채 ETF,달러/엔,달러/위안,미국 리츠 ETF,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈
2025-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-27,,,,,,,,,,,,,,,,,,,143.84100341796875,7.286399841308594,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-28,5528.75,3332.5,99.01000213623047,19427.2890625,550.8499755859375,472.4100036621094,194.94000244140625,402.2699890136719,25.149999618530273,35839.98828125,3288.4150390625,21971.9609375,8417.2998046875,22271.669921875,7573.759765625,98.87000274658203,110.19999694824219,108.23999786376953,142.17799377441406,7.294000148773193,87.55000305175781,210.13999938964844,391.1600036621094,187.6999969482422,160.61000061035156,162.4199981689453,549.739990234375,285.8800048828125,108.7300033569336,978.5399780273438,1110.3800048828125,64.93000030517578,20.510000228881836,56.84000015258789,33.77000045776367,133.75999450683594,283.0899963378906,200.66000366210938,83.9000015258789,65.0999984741211,78.55999755859375,192.47000122070312,368.6199951171875,162.44000244140625,96.38999938964844,150.7899932861328
2025-04-29,5560.830078125,3318.800048828125,99.23999786376953,19544.94921875,554.3200073242188,475.5299987792969,196.08999633789062,405.2099914550781,24.170000076293945,,3286.655029296875,22008.109375,8463.5,22425.830078125,7555.8701171875,99.11000061035156,110.38999938964844,108.48999786376953,142.2989959716797,7.269000053405762,88.0199966430664,211.2100067138672,394.0400085449219,187.38999938964844,160.16000366210938,162.05999755859375,554.4400024414062,292.0299987792969,109.0199966430664,991.7000122070312,1125.6400146484375,66.31999969482422,20.34000015258789,57.34000015258789,33.939998626708984,134.30999755859375,288.55999755859375,211.49000549316406,84.8499984741211,65.6500015258789,76.87999725341797,191.1699981689453,370.9800109863281,160.77000427246094,96.05999755859375,149.5500030517578
2025-04-30,5569.06005859375,3305.0,99.47000122070312,19571.01953125,554.5399780273438,475.4700012207031,194.86000061035156,406.3399963378906,24.700000762939453,36045.37890625,3279.031005859375,22119.41015625,8494.900390625,22496.98046875,7593.8701171875,99.0199966430664,110.5199966430664,107.9800033569336,143.00900268554688,7.270599842071533,88.33000183105469,212.5,395.260009765625,184.4199981689453,158.8000030517578,160.88999938964844,549.0,282.1600036621094,108.91999816894531,994.5,1131.719970703125,65.83999633789062,20.100000381469727,57.72999954223633,34.20000076293945,135.5800018310547,290.9200134277344,210.5,80.05000305175781,68.12999725341797,76.94999694824219,192.47000122070312,374.9800109863281,160.0500030517578,97.3499984741211,150.7100067138672
2025-05-01,5604.14013671875,3210.0,100.25,19786.7109375,558.469970703125,481.67999267578125,196.07000732421875,407.4200134277344,24.600000381469727,36452.30078125,,,8496.7998046875,,,98.43000030517578,109.61000061035156,107.16999816894531,145.447998046875,7.270599842071533,88.62000274658203,213.32000732421875,425.3999938964844,190.1999969482422,161.3000030517578,162.7899932861328,572.2100219726562,280.5199890136719,111.61000061035156,999.0399780273438,1133.469970703125,65.41000366210938,19.979999542236328,58.119998931884766,33.81999969482422,133.5500030517578,283.7799987792969,210.74000549316406,82.01000213623047,67.87000274658203,77.7699966430664,197.3300018310547,374.6300048828125,158.25999450683594,96.6500015258789,148.9600067138672
2025-05-02,5686.669921875,3231.89990234375,100.0,20102.609375,566.760009765625,488.8299865722656,200.47999572753906,413.0400085449219,22.68000030517578,36830.69140625,,22504.6796875,8596.400390625,23086.650390625,7770.47998046875,97.94999694824219,109.04000091552734,106.91000366210938,,,89.70999908447266,205.35000610351562,435.2799987792969,189.97999572753906,164.02999877929688,165.80999755859375,597.02001953125,287.2099914550781,114.5,1008.2999877929688,1156.489990234375,67.23999786376953,20.6200008392334,59.33000183105469,34.459999084472656,133.75,281.2200012207031,214.1300048828125,84.69000244140625,67.75,80.72000122070312,203.63999938964844,380.8699951171875,164.50999450683594,98.80000305175781,155.10000610351562
2025-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-04,,,,,,,,,,,,,,,,,,,144.62399291992188,7.270599842071533,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05,5650.3798828125,3311.300048828125,99.83000183105469,19967.939453125,563.510009765625,485.92999267578125,198.94000244140625,412.260009765625,23.639999389648438,,,,,23344.5390625,7727.93017578125,97.77999877929688,108.93000030517578,106.76000213623047,143.6540069580078,7.269999980926514,89.51000213623047,198.88999938964844,436.1700134277344,186.35000610351562,164.2100067138672,166.0500030517578,599.27001953125,280.260009765625,113.81999969482422,1014.8900146484375,1134.06005859375,68.54000091552734,20.270000457763672,59.31999969482422,34.45000076293945,131.99000549316406,280.05999755859375,214.25,81.66000366210938,67.80000305175781,80.41999816894531,200.72000122070312,381.05999755859375,162.4199981689453,100.58999633789062,154.61000061035156
